Layer,Address,Decimal,Hex,Binary
conv1,50,27,1B,00011011
conv1,51,-26,E6,11100110
conv1,52,35,23,00100011
conv1,53,17,11,00010001
conv1,54,40,28,00101000
conv1,55,-31,E1,11100001
conv1,56,32,20,00100000
conv1,57,18,12,00010010
conv1,58,42,2A,00101010
conv1,59,-45,D3,11010011
conv1,60,31,1F,00011111
conv1,61,29,1D,00011101
conv1,62,-18,EE,11101110
conv1,63,29,1D,00011101
conv1,64,-41,D7,11010111
conv1,65,29,1D,00011101
conv1,66,34,22,00100010
conv1,67,34,22,00100010
conv1,68,-64,C0,11000000
conv1,69,46,2E,00101110
conv1,70,45,2D,00101101
conv1,71,44,2C,00101100
conv1,72,-17,EF,11101111
conv1,73,-51,CD,11001101
conv1,74,56,38,00111000
conv1,75,-27,E5,11100101
conv1,76,37,25,00100101
conv1,77,63,3F,00111111
conv1,78,-77,B3,10110011
conv1,79,56,38,00111000
conv1,80,50,32,00110010
conv1,81,-58,C6,11000110
conv1,82,71,47,01000111
conv1,83,-24,E8,11101000
conv1,84,61,3D,00111101
conv1,85,-70,BA,10111010
conv1,86,75,4B,01001011
conv1,87,38,26,00100110
conv1,88,61,3D,00111101
conv1,89,-52,CC,11001100
conv1,90,72,48,01001000
conv1,91,35,23,00100011
conv1,92,-21,EB,11101011
conv1,93,-37,DB,11011011
conv1,94,-42,D6,11010110
conv1,95,56,38,00111000
conv1,96,-38,DA,11011010
conv1,97,60,3C,00111100
conv1,98,34,22,00100010
conv1,99,-29,E3,11100011
conv1,100,-33,DF,11011111
conv1,101,54,36,00110110
conv1,102,-31,E1,11100001
conv1,103,67,43,01000011
conv1,104,36,24,00100100
conv1,105,-40,D8,11011000
conv1,106,62,3E,00111110
conv1,107,-30,E2,11100010
conv1,108,66,42,01000010
conv1,109,38,26,00100110
conv1,110,-52,CC,11001100
conv1,111,74,4A,01001010
conv1,112,-28,E4,11100100
conv1,113,66,42,01000010
conv1,114,43,2B,00101011
conv1,115,-84,AC,10101100
conv1,116,-36,DC,11011100
conv1,117,48,30,00110000
conv1,118,-28,E4,11100100
conv1,119,46,2E,00101110
conv1,120,60,3C,00111100
conv1,121,-24,E8,11101000
conv1,122,-37,DB,11011011
conv1,123,-50,CE,11001110
conv1,124,67,43,01000011
conv1,125,30,1E,00011110
conv1,126,40,28,00101000
conv1,127,52,34,00110100
conv1,128,-61,C3,11000011
conv1,129,-23,E9,11101001
conv1,130,38,26,00100110
conv1,131,29,1D,00011101
conv1,132,-33,DF,11011111
conv1,133,45,2D,00101101
conv1,134,-20,EC,11101100
conv1,135,-33,DF,11011111
conv1,136,22,16,00010110
conv1,137,26,1A,00011010
conv1,138,22,16,00010110
conv1,139,21,15,00010101
conv1,140,-21,EB,11101011
conv1,141,17,11,00010001
conv1,142,19,13,00010011
conv1,143,22,16,00010110
conv1,144,-28,E4,11100100
conv1,145,-18,EE,11101110
conv1,146,-22,EA,11101010
conv1,147,-34,DE,11011110
conv1,148,27,1B,00011011
conv1,149,31,1F,00011111
conv1,150,-48,D0,11010000
conv1,151,27,1B,00011011
conv1,152,24,18,00011000
conv1,153,31,1F,00011111
conv1,154,-53,CB,11001011
conv1,155,29,1D,00011101
conv1,156,17,11,00010001
conv1,157,24,18,00011000
conv1,158,-34,DE,11011110
conv1,159,22,16,00010110
conv1,160,39,27,00100111
conv1,161,38,26,00100110
conv1,162,-27,E5,11100101
conv1,163,-43,D5,11010101
conv1,164,27,1B,00011011
conv1,165,46,2E,00101110
conv1,166,-22,EA,11101010
conv1,167,46,2E,00101110
conv1,168,-51,CD,11001101
conv1,169,46,2E,00101110
conv1,170,21,15,00010101
conv1,171,-34,DE,11011110
conv1,172,-27,E5,11100101
conv1,173,-55,C9,11001001
conv1,174,49,31,00110001
conv1,175,25,19,00011001
conv1,176,26,1A,00011010
conv1,177,-30,E2,11100010
conv1,178,60,3C,00111100
conv1,179,-68,BC,10111100
conv1,180,42,2A,00101010
conv1,181,29,1D,00011101
conv1,182,-22,EA,11101010
conv1,183,-27,E5,11100101
conv1,184,53,35,00110101
conv1,185,-80,B0,10110000
conv1,186,57,39,00111001
conv1,187,54,36,00110110
conv1,188,-34,DE,11011110
conv1,189,-76,B4,10110100
conv1,190,50,32,00110010
conv1,191,25,19,00011001
conv1,192,-18,EE,11101110
conv1,193,-33,DF,11011111
conv1,194,57,39,00111001
conv1,195,-53,CB,11001011
conv1,196,58,3A,00111010
conv1,197,-19,ED,11101101
conv1,198,-34,DE,11011110
conv1,199,66,42,01000010
conv1,200,-43,D5,11010101
conv1,201,75,4B,01001011
conv1,202,-24,E8,11101000
conv1,203,-51,CD,11001101
conv1,204,64,40,01000000
conv1,205,-34,DE,11011110
conv1,206,80,50,01010000
conv1,207,-29,E3,11100011
conv1,208,-26,E6,11100110
conv1,209,-32,E0,11100000
conv1,210,67,43,01000011
conv1,211,-43,D5,11010101
conv1,212,-27,E5,11100101
conv1,213,53,35,00110101
conv1,214,-41,D7,11010111
conv1,215,51,33,00110011
conv1,216,-25,E7,11100111
conv1,217,-25,E7,11100111
conv1,218,37,25,00100101
conv1,219,-55,C9,11001001
conv1,220,37,25,00100101
conv1,221,-45,D3,11010011
conv1,222,26,1A,00011010
conv1,223,-17,EF,11101111
conv1,224,-18,EE,11101110
conv1,225,-28,E4,11100100
conv1,226,18,12,00010010
conv1,227,26,1A,00011010
conv1,228,-33,DF,11011111
conv1,229,-33,DF,11011111
conv1,230,27,1B,00011011
conv1,231,-26,E6,11100110
conv1,232,26,1A,00011010
conv1,233,24,18,00011000
conv1,234,-38,DA,11011010
conv1,235,35,23,00100011
conv1,236,23,17,00010111
conv1,237,25,19,00011001
conv1,238,38,26,00100110
conv1,239,-31,E1,11100001
conv1,240,36,24,00100100
conv1,241,-30,E2,11100010
conv1,242,22,16,00010110
conv1,243,29,1D,00011101
conv1,244,40,28,00101000
conv1,245,-38,DA,11011010
conv1,246,-30,E2,11100010
conv1,247,-34,DE,11011110
conv1,248,-32,E0,11100000
conv1,249,37,25,00100101
conv1,250,23,17,00010111
conv1,251,-25,E7,11100111
conv1,252,-28,E4,11100100
conv1,253,-35,DD,11011101
conv1,254,35,23,00100011
conv1,255,25,19,00011001
conv1,256,-36,DC,11011100
conv1,257,37,25,00100101
conv1,258,49,31,00110001
conv1,259,28,1C,00011100
conv1,260,-34,DE,11011110
conv1,261,-34,DE,11011110
conv1,262,31,1F,00011111
conv1,263,18,12,00010010
conv1,264,-40,D8,11011000
conv1,265,-36,DC,11011100
conv1,266,34,22,00100010
conv1,267,26,1A,00011010
conv1,268,-47,D1,11010001
conv1,269,-44,D4,11010100
conv1,270,20,14,00010100
conv1,271,-58,C6,11000110
conv1,272,-22,EA,11101010
conv1,273,-50,CE,11001110
conv1,274,-45,D3,11010011
conv1,275,-22,EA,11101010
conv1,276,-46,D2,11010010
conv1,277,-24,E8,11101000
conv1,278,-43,D5,11010101
conv1,279,-24,E8,11101000
conv1,280,-26,E6,11100110
conv1,281,-32,E0,11100000
conv1,282,-20,EC,11101100
conv1,283,-17,EF,11101111
conv1,284,-30,E2,11100010
conv1,285,-51,CD,11001101
conv1,286,-23,E9,11101001
conv1,287,17,11,00010001
conv1,288,-20,EC,11101100
conv1,289,23,17,00010111
conv1,290,-52,CC,11001100
conv1,291,-25,E7,11100111
conv1,292,23,17,00010111
conv1,293,-23,E9,11101001
conv1,294,24,18,00011000
conv1,295,-33,DF,11011111
conv1,296,-20,EC,11101100
conv1,297,-17,EF,11101111
conv1,298,18,12,00010010
conv1,299,-20,EC,11101100
conv1,300,25,19,00011001
conv1,301,22,16,00010110
conv1,302,22,16,00010110
conv1,303,22,16,00010110
conv1,304,29,1D,00011101
conv1,305,27,1B,00011011
conv1,306,-28,E4,11100100
conv1,307,-21,EB,11101011
conv1,308,28,1C,00011100
conv1,309,23,17,00010111
conv1,310,23,17,00010111
conv1,311,27,1B,00011011
conv1,312,19,13,00010011
conv1,313,33,21,00100001
conv1,314,48,30,00110000
conv1,315,-27,E5,11100101
conv1,316,19,13,00010011
conv1,317,35,23,00100011
conv1,318,-26,E6,11100110
conv1,319,-32,E0,11100000
conv1,320,26,1A,00011010
conv1,321,22,16,00010110
conv1,322,30,1E,00011110
conv1,323,-46,D2,11010010
conv1,324,-25,E7,11100111
conv1,325,30,1E,00011110
conv1,326,46,2E,00101110
conv1,327,36,24,00100100
conv1,328,-40,D8,11011000
conv1,329,29,1D,00011101
conv1,330,32,20,00100000
conv1,331,33,21,00100001
conv1,332,-51,CD,11001101
conv1,333,29,1D,00011101
conv1,334,30,1E,00011110
conv1,335,23,17,00010111
conv1,336,44,2C,00101100
conv1,337,-61,C3,11000011
conv1,338,38,26,00100110
conv1,339,26,1A,00011010
conv1,340,-19,ED,11101101
conv1,341,30,1E,00011110
conv1,342,-59,C5,11000101
conv1,343,-55,C9,11001001
conv1,344,26,1A,00011010
conv1,345,-64,C0,11000000
conv1,346,43,2B,00101011
conv1,347,31,1F,00011111
conv1,348,-78,B2,10110010
conv1,349,36,24,00100100
conv1,350,-46,D2,11010010
conv1,351,26,1A,00011010
conv1,352,-76,B4,10110100
conv1,353,27,1B,00011011
conv1,354,-39,D9,11011001
conv1,355,-66,BE,10111110
conv1,356,-58,C6,11000110
conv1,357,-39,D9,11011001
conv1,358,-44,D4,11010100
conv1,359,-40,D8,11011000
conv1,360,-52,CC,11001100
conv1,361,15,0F,00001111
conv1,362,-19,ED,11101101
conv1,363,-49,CF,11001111
conv1,364,-33,DF,11011111
conv1,365,-50,CE,11001110
conv1,366,26,1A,00011010
conv1,367,-34,DE,11011110
conv1,368,28,1C,00011100
conv1,369,-26,E6,11100110
conv1,370,23,17,00010111
conv1,371,-30,E2,11100010
conv1,372,-21,EB,11101011
conv1,373,-18,EE,11101110
conv1,374,27,1B,00011011
conv1,375,-34,DE,11011110
conv1,376,-33,DF,11011111
conv1,377,25,19,00011001
conv1,378,-20,EC,11101100
conv1,379,-21,EB,11101011
conv1,380,23,17,00010111
conv1,381,28,1C,00011100
conv1,382,-18,EE,11101110
conv1,383,19,13,00010011
conv1,384,22,16,00010110
conv1,385,19,13,00010011
conv1,386,-23,E9,11101001
conv1,387,19,13,00010011
conv1,388,22,16,00010110
conv1,389,21,15,00010101
conv1,390,31,1F,00011111
conv1,391,25,19,00011001
conv1,392,24,18,00011000
conv1,393,35,23,00100011
conv1,394,-33,DF,11011111
conv1,395,20,14,00010100
conv1,396,25,19,00011001
conv1,397,24,18,00011000
conv1,398,26,1A,00011010
conv1,399,18,12,00010010
conv1,400,26,1A,00011010
conv1,401,32,20,00100000
conv1,402,-17,EF,11101111
conv1,403,26,1A,00011010
conv1,404,28,1C,00011100
conv1,405,24,18,00011000
conv1,406,21,15,00010101
conv1,407,-18,EE,11101110
conv1,408,33,21,00100001
conv1,409,21,15,00010101
conv1,410,24,18,00011000
conv1,411,-26,E6,11100110
conv1,412,36,24,00100100
conv1,413,32,20,00100000
conv1,414,26,1A,00011010
conv1,415,32,20,00100000
conv1,416,-18,EE,11101110
conv1,417,37,25,00100101
conv1,418,40,28,00101000
conv1,419,35,23,00100011
conv1,420,42,2A,00101010
conv1,421,36,24,00100100
conv1,422,23,17,00010111
conv1,423,28,1C,00011100
conv1,424,-24,E8,11101000
conv1,425,24,18,00011000
conv1,426,35,23,00100011
conv1,427,46,2E,00101110
conv1,428,58,3A,00111010
conv1,429,20,14,00010100
conv1,430,-34,DE,11011110
conv1,431,-35,DD,11011101
conv1,432,-43,D5,11010101
conv1,433,-38,DA,11011010
conv1,434,-49,CF,11001111
conv1,435,20,14,00010100
conv1,436,-26,E6,11100110
conv1,437,-28,E4,11100100
conv1,438,36,24,00100100
conv1,439,-39,D9,11011001
conv1,440,29,1D,00011101
conv1,441,41,29,00101001
conv1,442,34,22,00100010
conv1,443,-45,D3,11010011
conv1,444,-37,DB,11011011
conv1,445,-26,E6,11100110
conv1,446,30,1E,00011110
conv1,447,25,19,00011001
conv1,448,30,1E,00011110
conv1,449,23,17,00010111
conv1,450,-58,C6,11000110
conv1,451,20,14,00010100
conv1,452,19,13,00010011
conv1,453,17,11,00010001
conv1,454,26,1A,00011010
conv1,455,-32,E0,11100000
conv1,456,25,19,00011001
conv1,457,17,11,00010001
conv1,458,21,15,00010101
conv1,459,26,1A,00011010
conv1,460,20,14,00010100
conv1,461,25,19,00011001
conv1,462,28,1C,00011100
conv1,463,31,1F,00011111
conv1,464,23,17,00010111
conv1,465,25,19,00011001
conv1,466,34,22,00100010
conv1,467,20,14,00010100
conv1,468,19,13,00010011
conv1,469,36,24,00100100
conv1,470,21,15,00010101
conv1,471,-31,E1,11100001
conv1,472,29,1D,00011101
conv1,473,26,1A,00011010
conv1,474,25,19,00011001
conv1,475,-42,D6,11010110
conv1,476,24,18,00011000
conv1,477,34,22,00100010
conv1,478,34,22,00100010
conv1,479,25,19,00011001
conv1,480,31,1F,00011111
conv1,481,26,1A,00011010
conv1,482,-21,EB,11101011
conv1,483,22,16,00010110
conv1,484,35,23,00100011
conv1,485,33,21,00100001
conv1,486,32,20,00100000
conv1,487,30,1E,00011110
conv1,488,30,1E,00011110
conv1,489,35,23,00100011
conv1,490,-21,EB,11101011
conv1,491,41,29,00101001
conv1,492,32,20,00100000
conv1,493,21,15,00010101
conv1,494,39,27,00100111
conv1,495,32,20,00100000
conv1,496,20,14,00010100
conv1,497,40,28,00101000
conv1,498,36,24,00100100
conv1,499,27,1B,00011011
conv1,500,20,14,00010100
conv1,501,-25,E7,11100111
conv1,502,-23,E9,11101001
conv1,503,53,35,00110101
conv1,504,-28,E4,11100100
conv1,505,-35,DD,11011101
conv1,506,-29,E3,11100011
conv1,507,-21,EB,11101011
conv1,508,-28,E4,11100100
conv1,509,22,16,00010110
conv1,510,49,31,00110001
conv1,511,-45,D3,11010011
conv1,512,-48,D0,11010000
conv1,513,-32,E0,11100000
conv1,514,-31,E1,11100001
conv1,515,45,2D,00101101
conv1,516,31,1F,00011111
conv1,517,48,30,00110000
conv1,518,-35,DD,11011101
conv1,519,-24,E8,11101000
conv1,520,-30,E2,11100010
conv1,521,30,1E,00011110
conv1,522,-66,BE,10111110
conv1,523,18,12,00010010
conv1,524,-33,DF,11011111
conv1,525,-28,E4,11100100
conv1,526,20,14,00010100
conv1,527,17,11,00010001
conv1,528,23,17,00010111
conv1,529,18,12,00010010
conv1,530,33,21,00100001
conv1,531,-34,DE,11011110
conv1,532,27,1B,00011011
conv1,533,21,15,00010101
conv1,534,43,2B,00101011
conv1,535,23,17,00010111
conv1,536,-22,EA,11101010
conv1,537,-38,DA,11011010
conv1,538,-24,E8,11101000
conv1,539,29,1D,00011101
conv1,540,29,1D,00011101
conv1,541,20,14,00010100
conv1,542,32,20,00100000
conv1,543,21,15,00010101
conv1,544,35,23,00100011
conv1,545,21,15,00010101
conv1,546,37,25,00100101
conv1,547,28,1C,00011100
conv1,548,29,1D,00011101
conv1,549,36,24,00100100
conv1,550,46,2E,00101110
conv1,551,45,2D,00101101
conv1,552,27,1B,00011011
conv1,553,41,29,00101001
conv1,554,24,18,00011000
conv1,555,35,23,00100011
conv1,556,45,2D,00101101
conv1,557,30,1E,00011110
conv1,558,31,1F,00011111
conv1,559,34,22,00100010
conv1,560,31,1F,00011111
conv1,561,35,23,00100011
conv1,562,-20,EC,11101100
conv1,563,45,2D,00101101
conv1,564,-19,ED,11101101
conv1,565,-29,E3,11100011
conv1,566,-27,E5,11100101
conv1,567,-31,E1,11100001
conv1,568,-36,DC,11011100
conv1,569,35,23,00100011
conv1,570,-27,E5,11100101
conv1,571,39,27,00100111
conv1,572,-45,D3,11010011
conv1,573,-49,CF,11001111
conv1,574,41,29,00101001
conv1,575,-51,CD,11001101
conv1,576,35,23,00100011
conv1,577,52,34,00110100
conv1,578,-34,DE,11011110
conv1,579,-22,EA,11101010
conv1,580,-45,D3,11010011
conv1,581,37,25,00100101
conv1,582,-66,BE,10111110
conv1,583,23,17,00010111
conv1,584,33,21,00100001
conv1,585,18,12,00010010
conv1,586,28,1C,00011100
conv1,587,29,1D,00011101
conv1,588,-19,ED,11101101
conv1,589,22,16,00010110
conv1,590,-18,EE,11101110
conv1,591,21,15,00010101
conv1,592,22,16,00010110
conv1,593,39,27,00100111
conv1,594,34,22,00100010
conv1,595,-29,E3,11100011
conv1,596,37,25,00100101
conv1,597,28,1C,00011100
conv1,598,31,1F,00011111
conv1,599,19,13,00010011
conv1,600,-36,DC,11011100
conv1,601,20,14,00010100
conv1,602,31,1F,00011111
conv1,603,20,14,00010100
conv1,604,36,24,00100100
conv1,605,31,1F,00011111
conv1,606,32,20,00100000
conv1,607,22,16,00010110
conv1,608,39,27,00100111
conv1,609,30,1E,00011110
conv1,610,23,17,00010111
conv1,611,20,14,00010100
conv1,612,47,2F,00101111
conv1,613,28,1C,00011100
conv1,614,31,1F,00011111
conv1,615,29,1D,00011101
conv1,616,24,18,00011000
conv1,617,32,20,00100000
conv1,618,27,1B,00011011
conv1,619,32,20,00100000
conv1,620,-18,EE,11101110
conv1,621,19,13,00010011
conv1,622,22,16,00010110
conv1,623,-18,EE,11101110
conv1,624,-49,CF,11001111
conv1,625,-18,EE,11101110
conv1,626,-27,E5,11100101
conv1,627,-18,EE,11101110
conv1,628,-24,E8,11101000
conv1,629,28,1C,00011100
conv1,630,-29,E3,11100011
conv1,631,-34,DE,11011110
conv1,632,-45,D3,11010011
conv1,633,38,26,00100110
conv1,634,-37,DB,11011011
conv1,635,60,3C,00111100
conv1,636,-64,C0,11000000
conv1,637,-53,CB,11001011
conv1,638,-41,D7,11010111
conv1,639,32,20,00100000
conv1,640,-20,EC,11101100
conv1,641,-24,E8,11101000
conv1,642,45,2D,00101101
conv1,643,46,2E,00101110
conv1,644,-51,CD,11001101
conv1,645,-17,EF,11101111
conv1,646,-38,DA,11011010
conv1,647,-36,DC,11011100
conv1,648,28,1C,00011100
conv1,649,-45,D3,11010011
conv1,650,17,11,00010001
conv1,651,-24,E8,11101000
conv1,652,40,28,00101000
conv1,653,-38,DA,11011010
conv1,654,-33,DF,11011111
conv1,655,-22,EA,11101010
conv1,656,24,18,00011000
conv1,657,22,16,00010110
conv1,658,24,18,00011000
conv1,659,32,20,00100000
conv1,660,-25,E7,11100111
conv1,661,28,1C,00011100
conv1,662,21,15,00010101
conv1,663,25,19,00011001
conv1,664,42,2A,00101010
conv1,665,-18,EE,11101110
conv1,666,23,17,00010111
conv1,667,-20,EC,11101100
conv1,668,-27,E5,11100101
conv1,669,24,18,00011000
conv1,670,20,14,00010100
conv1,671,-29,E3,11100011
conv1,672,20,14,00010100
conv1,673,26,1A,00011010
conv1,674,-32,E0,11100000
conv1,675,-25,E7,11100111
conv1,676,-37,DB,11011011
conv1,677,-42,D6,11010110
conv1,678,27,1B,00011011
conv1,679,-45,D3,11010011
conv1,680,27,1B,00011011
conv1,681,-51,CD,11001101
conv1,682,28,1C,00011100
conv1,683,26,1A,00011010
conv1,684,-39,D9,11011001
conv1,685,-46,D2,11010010
conv1,686,32,20,00100000
conv1,687,27,1B,00011011
conv1,688,-29,E3,11100011
conv1,689,-45,D3,11010011
conv1,690,-54,CA,11001010
conv1,691,37,25,00100101
conv1,692,-21,EB,11101011
conv1,693,24,18,00011000
conv1,694,-27,E5,11100101
conv1,695,-62,C2,11000010
conv1,696,22,16,00010110
conv1,697,35,23,00100011
conv1,698,-20,EC,11101100
conv1,699,22,16,00010110
conv1,700,-46,D2,11010010
conv1,701,-51,CD,11001101
conv1,702,30,1E,00011110
conv1,703,30,1E,00011110
conv1,704,-40,D8,11011000
conv1,705,33,21,00100001
conv1,706,27,1B,00011011
conv1,707,27,1B,00011011
conv1,708,25,19,00011001
conv1,709,40,28,00101000
conv1,710,43,2B,00101011
conv1,711,-21,EB,11101011
conv1,712,25,19,00011001
conv1,713,25,19,00011001
conv1,714,33,21,00100001
conv1,715,42,2A,00101010
conv1,716,30,1E,00011110
conv1,717,-23,E9,11101001
conv1,718,24,18,00011000
conv1,719,29,1D,00011101
conv1,720,41,29,00101001
conv1,721,24,18,00011000
conv1,722,19,13,00010011
conv1,723,26,1A,00011010
conv1,724,26,1A,00011010
conv1,725,19,13,00010011
conv1,726,-33,DF,11011111
conv1,727,58,3A,00111010
conv1,728,27,1B,00011011
conv1,729,-16,F0,11110000
conv1,730,-33,DF,11011111
conv1,731,21,15,00010101
conv1,732,-29,E3,11100011
conv1,733,27,1B,00011011
conv1,734,-37,DB,11011011
conv1,735,33,21,00100001
conv1,736,-35,DD,11011101
conv1,737,53,35,00110101
conv1,738,-52,CC,11001100
conv1,739,-33,DF,11011111
conv1,740,-32,E0,11100000
conv1,741,-46,D2,11010010
conv1,742,-17,EF,11101111
conv1,743,37,25,00100101
conv1,744,-23,E9,11101001
conv1,745,50,32,00110010
conv1,746,-56,C8,11001000
conv1,747,-24,E8,11101000
conv1,748,-53,CB,11001011
conv1,749,35,23,00100011
conv1,750,-39,D9,11011001
conv1,751,39,27,00100111
conv1,752,38,26,00100110
conv1,753,-34,DE,11011110
conv1,754,-19,ED,11101101
conv1,755,21,15,00010101
conv1,756,-38,DA,11011010
conv1,757,25,19,00011001
conv1,758,-25,E7,11100111
conv1,759,-17,EF,11101111
conv1,760,31,1F,00011111
conv1,761,28,1C,00011100
conv1,762,39,27,00100111
conv1,763,-29,E3,11100011
conv1,764,23,17,00010111
conv1,765,36,24,00100100
conv1,766,18,12,00010010
conv1,767,-21,EB,11101011
conv1,768,18,12,00010010
conv1,769,27,1B,00011011
conv1,770,-28,E4,11100100
conv1,771,19,13,00010011
conv1,772,19,13,00010011
conv1,773,-27,E5,11100101
conv1,774,-27,E5,11100101
conv1,775,-45,D3,11010011
conv1,776,36,24,00100100
conv1,777,24,18,00011000
conv1,778,38,26,00100110
conv1,779,-31,E1,11100001
conv1,780,-29,E3,11100011
conv1,781,-65,BF,10111111
conv1,782,-16,F0,11110000
conv1,783,22,16,00010110
conv1,784,-39,D9,11011001
conv1,785,-78,B2,10110010
conv1,786,27,1B,00011011
conv1,787,23,17,00010111
conv1,788,-33,DF,11011111
conv1,789,25,19,00011001
conv1,790,-23,E9,11101001
conv1,791,-30,E2,11100010
conv1,792,-69,BB,10111011
conv1,793,-37,DB,11011011
conv1,794,24,18,00011000
conv1,795,-24,E8,11101000
conv1,796,-34,DE,11011110
conv1,797,-76,B4,10110100
conv1,798,31,1F,00011111
conv1,799,-24,E8,11101000
conv1,800,-53,CB,11001011
conv1,801,37,25,00100101
conv1,802,-46,D2,11010010
conv1,803,-53,CB,11001011
conv1,804,28,1C,00011100
conv1,805,-40,D8,11011000
conv1,806,-18,EE,11101110
conv1,807,27,1B,00011011
conv1,808,31,1F,00011111
conv1,809,44,2C,00101100
conv1,810,-17,EF,11101111
conv1,811,43,2B,00101011
conv1,812,-30,E2,11100010
conv1,813,51,33,00110011
conv1,814,20,14,00010100
conv1,815,37,25,00100101
conv1,816,34,22,00100010
conv1,817,-37,DB,11011011
conv1,818,-35,DD,11011101
conv1,819,30,1E,00011110
conv1,820,-30,E2,11100010
conv1,821,37,25,00100101
conv1,822,19,13,00010011
conv1,823,32,20,00100000
conv1,824,-38,DA,11011010
conv1,825,-19,ED,11101101
conv1,826,20,14,00010100
conv1,827,25,19,00011001
conv1,828,29,1D,00011101
conv1,829,38,26,00100110
conv1,830,19,13,00010011
conv1,831,49,31,00110001
conv1,832,69,45,01000101
conv1,833,62,3E,00111110
conv1,834,-21,EB,11101011
conv1,835,-31,E1,11100001
conv1,836,63,3F,00111111
conv1,837,-38,DA,11011010
conv1,838,-33,DF,11011111
conv1,839,-43,D5,11010101
conv1,840,50,32,00110010
conv1,841,-24,E8,11101000
conv1,842,-46,D2,11010010
conv1,843,25,19,00011001
conv1,844,-17,EF,11101111
conv1,845,21,15,00010101
conv1,846,-32,E0,11100000
conv1,847,41,29,00101001
conv1,848,-55,C9,11001001
conv1,849,-19,ED,11101101
conv1,850,-50,CE,11001110
conv1,851,-21,EB,11101011
conv1,852,39,27,00100111
conv1,853,-22,EA,11101010
conv1,854,-43,D5,11010101
conv1,855,-22,EA,11101010
conv1,856,19,13,00010011
conv1,857,20,14,00010100
conv1,858,22,16,00010110
conv1,859,23,17,00010111
conv1,860,18,12,00010010
conv1,861,-34,DE,11011110
conv1,862,22,16,00010110
conv1,863,33,21,00100001
conv1,864,-62,C2,11000010
conv1,865,31,1F,00011111
conv1,866,30,1E,00011110
conv1,867,-24,E8,11101000
conv1,868,-19,ED,11101101
conv1,869,-58,C6,11000110
conv1,870,-28,E4,11100100
conv1,871,26,1A,00011010
conv1,872,-43,D5,11010101
conv1,873,-28,E4,11100100
conv1,874,-96,A0,10100000
conv1,875,-30,E2,11100010
conv1,876,-37,DB,11011011
conv1,877,-40,D8,11011000
conv1,878,24,18,00011000
conv1,879,-28,E4,11100100
conv1,880,-60,C4,11000100
conv1,881,32,20,00100000
conv1,882,-45,D3,11010011
conv1,883,26,1A,00011010
conv1,884,-19,ED,11101101
conv1,885,-22,EA,11101010
conv1,886,-43,D5,11010101
conv1,887,-20,EC,11101100
conv1,888,-21,EB,11101011
conv1,889,38,26,00100110
conv1,890,18,12,00010010
conv1,891,-43,D5,11010101
conv1,892,-23,E9,11101001
conv1,893,-53,CB,11001011
conv1,894,-34,DE,11011110
conv1,895,27,1B,00011011
conv1,896,45,2D,00101101
conv1,897,-49,CF,11001111
conv1,898,46,2E,00101110
conv1,899,38,26,00100110
conv1,900,40,28,00101000
conv1,901,-30,E2,11100010
conv1,902,-31,E1,11100001
conv1,903,29,1D,00011101
conv1,904,-39,D9,11011001
conv1,905,45,2D,00101101
conv1,906,23,17,00010111
conv1,907,-38,DA,11011010
conv1,908,-22,EA,11101010
conv1,909,31,1F,00011111
conv1,910,53,35,00110101
conv1,911,19,13,00010011
conv1,912,-48,D0,11010000
conv1,913,27,1B,00011011
conv1,914,23,17,00010111
conv1,915,32,20,00100000
conv1,916,-36,DC,11011100
conv1,917,17,11,00010001
conv1,918,26,1A,00011010
conv1,919,48,30,00110000
conv1,920,-26,E6,11100110
conv1,921,23,17,00010111
conv1,922,28,1C,00011100
conv1,923,62,3E,00111110
conv1,924,46,2E,00101110
conv1,925,26,1A,00011010
conv1,926,64,40,01000000
conv1,927,38,26,00100110
conv1,928,14,0E,00001110
conv1,929,64,40,01000000
conv1,930,46,2E,00101110
conv1,931,31,1F,00011111
conv1,932,-43,D5,11010101
conv1,933,-34,DE,11011110
conv1,934,45,2D,00101101
conv1,935,-50,CE,11001110
conv1,936,-24,E8,11101000
conv1,937,-41,D7,11010111
conv1,938,-32,E0,11100000
conv1,939,43,2B,00101011
conv1,940,-21,EB,11101011
conv1,941,-22,EA,11101010
conv1,942,21,15,00010101
conv1,943,-24,E8,11101000
conv1,944,-20,EC,11101100
conv1,945,-21,EB,11101011
conv1,946,-37,DB,11011011
conv1,947,-18,EE,11101110
conv1,948,-19,ED,11101101
conv1,949,17,11,00010001
conv1,950,25,19,00011001
conv1,951,-20,EC,11101100
conv1,952,18,12,00010010
conv1,953,22,16,00010110
conv1,954,21,15,00010101
conv1,955,17,11,00010001
conv1,956,26,1A,00011010
conv1,957,-36,DC,11011100
conv1,958,24,18,00011000
conv1,959,23,17,00010111
conv1,960,-20,EC,11101100
conv1,961,-38,DA,11011010
conv1,962,21,15,00010101
conv1,963,43,2B,00101011
conv1,964,-22,EA,11101010
conv1,965,-43,D5,11010101
conv1,966,-35,DD,11011101
conv1,967,23,17,00010111
conv1,968,-32,E0,11100000
conv1,969,-33,DF,11011111
conv1,970,-30,E2,11100010
conv1,971,-17,EF,11101111
conv1,972,-44,D4,11010100
conv1,973,-26,E6,11100110
conv1,974,-29,E3,11100011
conv1,975,28,1C,00011100
conv1,976,-29,E3,11100011
